threshold,precision,recall,f1
0.0,0.38342696629213485,1.0,0.5543147208121827
0.01,0.4171779141104294,0.9963369963369964,0.5881081081081081
0.02,0.4355628058727569,0.978021978021978,0.6027088036117382
0.03,0.44804088586030666,0.9633699633699634,0.6116279069767442
0.04,0.4642857142857143,0.9523809523809523,0.6242496998799519
0.05,0.48148148148148145,0.9523809523809523,0.6396063960639606
0.06,0.5029239766081871,0.945054945054945,0.6564885496183206
0.07,0.5141700404858299,0.9304029304029304,0.6623207301173403
0.08,0.5281837160751566,0.9267399267399268,0.6728723404255319
0.09,0.5374732334047109,0.9194139194139194,0.6783783783783783
0.1,0.5387931034482759,0.9157509157509157,0.6784260515603799
0.11,0.5550561797752809,0.9047619047619048,0.6880222841225627
0.12,0.5690866510538641,0.8901098901098901,0.6942857142857143
0.13,0.5748218527315915,0.8864468864468864,0.6974063400576369
0.14,0.5815085158150851,0.8754578754578755,0.6988304093567251
0.15,0.59,0.8644688644688645,0.7013372956909361
0.16,0.5964467005076142,0.8608058608058609,0.704647676161919
0.17,0.5994897959183674,0.8608058608058609,0.706766917293233
0.18,0.6057441253263708,0.8498168498168498,0.7073170731707317
0.19,0.6111111111111112,0.8461538461538461,0.7096774193548387
0.2,0.6199460916442049,0.8424908424908425,0.7142857142857143
0.21,0.6343490304709142,0.8388278388278388,0.722397476340694
0.22,0.6422535211267606,0.8351648351648352,0.7261146496815286
0.23,0.6410256410256411,0.8241758241758241,0.7211538461538461
0.24,0.6408045977011494,0.8168498168498168,0.7181964573268921
0.25,0.6461988304093568,0.8095238095238095,0.71869918699187
0.26,0.650887573964497,0.8058608058608059,0.7201309328968903
0.27,0.6626506024096386,0.8058608058608059,0.7272727272727273
0.28,0.6707692307692308,0.7985347985347986,0.7290969899665551
0.29,0.6739130434782609,0.7948717948717948,0.7294117647058823
0.3,0.6782334384858044,0.7875457875457875,0.7288135593220338
0.31,0.684887459807074,0.7802197802197802,0.7294520547945206
0.32,0.694078947368421,0.7728937728937729,0.7313691507798961
0.33,0.7094594594594594,0.7692307692307693,0.7381370826010545
0.34,0.708904109589041,0.7582417582417582,0.7327433628318584
0.35000000000000003,0.7137931034482758,0.7582417582417582,0.7353463587921847
0.36,0.7142857142857143,0.7509157509157509,0.7321428571428571
0.37,0.7173144876325088,0.7435897435897436,0.7302158273381295
0.38,0.7224199288256228,0.7435897435897436,0.7328519855595668
0.39,0.7302158273381295,0.7435897435897436,0.7368421052631579
0.4,0.7372262773722628,0.73992673992674,0.7385740402193784
0.41000000000000003,0.7481481481481481,0.73992673992674,0.7440147329650092
0.42,0.7490636704119851,0.7326007326007326,0.7407407407407407
0.43,0.7575757575757576,0.7326007326007326,0.74487895716946
0.44,0.7604562737642585,0.7326007326007326,0.746268656716418
0.45,0.7662835249042146,0.7326007326007326,0.7490636704119851
0.46,0.7751937984496124,0.7326007326007326,0.7532956685499058
0.47000000000000003,0.7764705882352941,0.7252747252747253,0.75
0.48,0.782608695652174,0.7252747252747253,0.752851711026616
0.49,0.7888446215139442,0.7252747252747253,0.7557251908396947
0.5,0.792,0.7252747252747253,0.7571701720841301
0.51,0.7951807228915663,0.7252747252747253,0.7586206896551724
0.52,0.7975708502024291,0.7216117216117216,0.7576923076923077
0.53,0.8057851239669421,0.7142857142857143,0.7572815533980582
0.54,0.8125,0.7142857142857143,0.7602339181286549
0.55,0.8185654008438819,0.7106227106227107,0.7607843137254902
0.56,0.8247863247863247,0.706959706959707,0.7613412228796844
0.5700000000000001,0.8247863247863247,0.706959706959707,0.7613412228796844
0.58,0.8347826086956521,0.7032967032967034,0.7634194831013916
0.59,0.8370044052863436,0.6959706959706959,0.76
0.6,0.8552036199095022,0.6923076923076923,0.7651821862348178
0.61,0.8590909090909091,0.6923076923076923,0.7667342799188641
0.62,0.8584474885844748,0.6886446886446886,0.7642276422764228
0.63,0.8584474885844748,0.6886446886446886,0.7642276422764228
0.64,0.8617511520737328,0.684981684981685,0.763265306122449
0.65,0.8604651162790697,0.6776556776556777,0.7581967213114754
0.66,0.8632075471698113,0.6703296703296703,0.7546391752577319
0.67,0.8666666666666667,0.6666666666666666,0.7536231884057971
0.68,0.8792270531400966,0.6666666666666666,0.7583333333333333
0.6900000000000001,0.8792270531400966,0.6666666666666666,0.7583333333333333
0.7000000000000001,0.883495145631068,0.6666666666666666,0.7599164926931107
0.71,0.8910891089108911,0.6593406593406593,0.7578947368421053
0.72,0.89,0.652014652014652,0.7526427061310782
0.73,0.898989898989899,0.652014652014652,0.7558386411889597
0.74,0.898989898989899,0.652014652014652,0.7558386411889597
0.75,0.8984771573604061,0.6483516483516484,0.7531914893617021
0.76,0.9015544041450777,0.6373626373626373,0.7467811158798283
0.77,0.9052631578947369,0.63003663003663,0.7429805615550756
0.78,0.9081081081081082,0.6153846153846154,0.7336244541484717
0.79,0.9171270718232044,0.608058608058608,0.7312775330396476
0.8,0.92,0.5897435897435898,0.71875
0.81,0.9181286549707602,0.575091575091575,0.7072072072072072
0.8200000000000001,0.9221556886227545,0.5641025641025641,0.7
0.8300000000000001,0.9197530864197531,0.5457875457875457,0.6850574712643678
0.84,0.9254658385093167,0.5457875457875457,0.6866359447004609
0.85,0.9225806451612903,0.5238095238095238,0.6682242990654206
0.86,0.9300699300699301,0.48717948717948717,0.6394230769230769
0.87,0.9347826086956522,0.4725274725274725,0.6277372262773723
0.88,0.9347826086956522,0.4725274725274725,0.6277372262773723
0.89,0.9398496240601504,0.45787545787545786,0.6157635467980296
0.9,0.9457364341085271,0.4468864468864469,0.6069651741293532
0.91,0.944,0.43223443223443225,0.592964824120603
0.92,0.9478260869565217,0.3992673992673993,0.5618556701030928
0.93,0.9537037037037037,0.3772893772893773,0.5406824146981627
0.9400000000000001,0.9702970297029703,0.358974358974359,0.5240641711229946
0.9500000000000001,0.968421052631579,0.336996336996337,0.5
0.96,0.9620253164556962,0.2783882783882784,0.4318181818181818
0.97,0.9558823529411765,0.23809523809523808,0.3812316715542522
0.98,0.9629629629629629,0.19047619047619047,0.3180428134556575
0.99,0.972972972972973,0.13186813186813187,0.23225806451612904
1.0,0.0,0.0,0.0
